Breed	Type (hair/wool)	Avg Ewe Wt (lbs)	Avg Ram Wt (lbs)	Notes
American Black Belly	hair	115	137	Hair sheep. Small frame. Excellent parasite resistance.
Awassi	wool	200	308	Wool. Fat-tailed dairy breed. Middle East origin. Heat tolerant.
Babydoll	wool	80	125	Wool. Miniature Southdown. Very small.
Barbados Black Belly	hair	95	125	Hair sheep. Foundation of many hair breeds.
Black Headed Dorper	hair	160	300	Hair sheep. FL Dorper are small-framed (~80% of standard). Meat breed.
Cotswold	wool	200	300	Wool. Long-wool breed. Large frame.
Cracker	wool	110	225	Florida native heritage. Coat type VARIABLE — some individuals shed (Merrie), others retain wool (00110). Classify per individual, not breed. Parasite
East Friesian	wool	210	275	Wool. Dairy breed. High milk production.
Gulf Coast Native	wool	125	165	SE US native. WOOL coat despite being parasite resistant. Often confused with hair sheep due to hardiness. Florida adapted.
Hampshire	wool	200	300	Wool. Meat breed. Large frame.
Jacob	wool	100	150	Wool. Heritage breed. Small frame.
Karakul	intermediate	130	175	Fat-tailed. Some shedding. Arid-adapted.
Katahdin	hair	160	235	Gold standard hair sheep. Parasite resistant. Developed by Michael Piel from St Croix/Suffolk/Wiltshire.
Southdown	wool	180	250	Wool. Babydoll type. Compact meat breed.
St Augustine	hair	185	300	HAIR sheep — Florida native. Heat/parasite adapted.
St Croix	hair	120	165	Hair sheep. Caribbean origin. Foundation of Katahdin.
Suffolk	wool	200	300	Wool. Terminal meat sire. Big lambs, dystocia risk.
Tunis	wool	160	275	Wool. Fat-tailed. Good mothering. Heat tolerant for a wool breed.
White Dorper	hair	185	235	Hair sheep. Meat breed.
Wiltshire Horn	hair	150	300	Hair/shedding sheep. Used in Katahdin development.
