Category	Item	Details
Selection Hierarchy	#1 FAMACHA/FEC	Can it survive parasites with minimal intervention? FAMACHA 1-2 without deworming = gold. FAMACHA 4-5 requiring treatment = cull candidate.
Selection Hierarchy	#2 Hair/Wool	Does it shed its coat? Observed coat, not calculated from breed. Score at weaning: 1=full wool, 5=full shed.
Selection Hierarchy	#3 Breed Composition	Genetic background for context. Informs but does not decide. A mutt with FAMACHA 1 beats a purebred Katahdin with FAMACHA 5.
Selection Hierarchy	#4 Meatiness	Tiebreaker. Given two animals equal in parasites, coat, and breed — choose the meatiest.
		
Hard Lesson		St Croix purchased and brought to property DIED OF PARASITES. Breed reputation ≠ individual resistance.
Hard Lesson		Barbados Black Belly purchased and brought to property DIED OF PARASITES. Same lesson.
Hard Lesson		Windlestone Dorper (exceptional South African bloodlines) are EXTREMELY VULNERABLE to parasites despite being hair sheep. Hair coat ≠ parasite resistance. Independent traits.
Hard Lesson		GG and Rocky are alive because owner skill improved, not because they are resistant. They require aggressive treatment to survive.
Hard Lesson		Cracker coat type is VARIABLE per individual — Merrie sheds, 00110 does not. Cannot classify per breed.
Hard Lesson		Every animal currently alive has survived Florida parasite pressure. That survival IS the genetics that work.
Hard Lesson		Buying outside genetics is HIGH RISK. Even 'resistant' breeds die here. Safest investment is what's already proven on this land.
Hard Lesson		Spring 2026 is an extreme drought. Animals scoring FAMACHA 4-5 during DRY season (lowest parasite pressure) will be catastrophically worse when rains return. Dry-season FAMACHA failures are the strongest cull signal.
Hard Lesson		{'date': '2026-05-13', 'lesson': 'Spring 2026 drought cull list (Phase 2 close-out)', 'detail': "Drought-season FAMACHA audit identified 5 living animals scoring FAMACHA 5 in the last 60 days plus 4 additional weak-resistance adults to watch. Recommendation document at data/2026_drought_cull_list.md. Pattern: Kelsier-sired Serendipity twins both failed (sire 'gold standard' + susceptible-dam = susceptible lambs) — confirms dam genetics dominate parasite vulnerability in this flock. GG's 3rd emergency in the cohort closes the case for culling her despite owner-skill keeping her alive.", 'source': '2026-05-13 audit (flock-validation skill + breeding_policy.selection_hierarchy rank 1)'}
Hard Lesson		{'date': '2026-04-22', 'lesson': 'Transplant-environment caveat', 'detail': "Untreated-at-source-farm survival is a positive but ambiguous signal. Survivorship bias (animals that died untreated were not measured) and lower-pressure microenvironments can both inflate apparent resistance. Owner observation: animals brought to Manatee Creek from Danny's place (no-treatment philosophy) have sometimes struggled here. Rule: discount external 'never-treated' resistance claims by ~30-40% until one full Manatee Creek wet-season cycle establishes on-property data. Apply transplant-watch protocol (weekly FAMACHA + day 30/60 FEC + no early advancement) to all newly-arrived purchased or transferred animals from any external source.", 'source': "owner verbal 2026-04-22, prompted by Cocoa's Daughter (Loki × Cocoa) arrival evaluation"}
Hard Lesson		{'date': '2026-04-22', 'lesson': 'Pen 4 reframe — weak pen breeds too', 'detail': "Earlier v5 spec called Pen 4 'off the breeding pipeline.' Owner correction: every ewe is a lamb-producing revenue asset, even pets and weak-resistance animals. Auction lambs are ~\\$300/head. Pen 4 has its own sire (Merrieweather, moved 2026-04-22 from Pen 3). Merrieweather's progeny across Pen 4 weak ewes serves as a multi-pen progeny test for his own resistance heritability — passes = upgrade ram, fails = sell ram. Sole sire in Pen 3 (Charlie) clarifies paternity. No biosecurity loss because Merrieweather is being TESTED not protected.", 'source': 'owner verbal 2026-04-22, response to my Pen 4-as-quarantine framing'}
		
Pipeline	Target Animal	Hardy (survives Florida with minimal care), Hairy (sheds coat), Meaty (good muscling/growth), Parasite resistant (FAMACHA 1-2 without deworming)
Pipeline	Inbreeding Policy	Managed tool, not hard block. F < 0.25 acceptable. Intentional line breeding toward homogeneity.
Pipeline	Awassi Separate	True
Pipeline	Key Insight	
		
Stress Test Fix	2026-04-02	Baby Azure moved from Stage 3 to Stage 1 (FAMACHA 5 in dry season = worst performer)
Stress Test Fix	2026-04-02	Charlie + Broken Tail + Elsie moved to Pen 2 (elite) — they earned it, no need to wait
Stress Test Fix	2026-04-02	Merrie promoted to Pen 1 (Stage 6) — 2nd best shedder after Charlie
Stress Test Fix	2026-04-02	Serendipity White Ram Twin placed at Pen 6 (Stage 5) — PROVISIONAL pending summer FAMACHA
Known Vulnerability		Charlie is single point of failure (only 100% hair ram). Backup: test Kelsier sons summer 2026.
Known Vulnerability		Rocky at Stage 3 contaminates with weak parasite genetics. Mitigate by hard culling his FAMACHA-3+ offspring.
Known Vulnerability		00110 daughters ~87% wool. Pipeline needs 5-6 stages to breed out. First finished animals ~10 years.
Known Vulnerability		Inbreeding spiral risk as Charlie sons cycle back. Monitor F coefficient. Introduce outside genetics if F > 0.20.
Known Vulnerability		Hurricane risk — east side pens more exposed than west side.
Known Vulnerability		16 ewe lambs scored FAMACHA 1-2 in dry summer — provisional only. Retest in wet season.
Known Vulnerability		Baby Azure FAMACHA 5 in dry summer when all other lambs scored 1-2. Cull candidate.
